name,service
PurchaseReqnItemType,API_PURCHASEREQUISITION_2
ExplctAsstmtMdlUsrProdExclsnType,API_RFM_ASSORTMENT_MODULE
WorkCenterCapacityType,API_WRKCTRPOOLEDCAPACITY
FreightBookingDocRef_Type,API_FREIGHTBOOKING
ATPRlvtProductStorLoc_Type,API_PRODUCT_AVAILY_INFO
rend_diriType,BR_CTR_SERVICE_O4
ExplicitAssortmentModuleUserType,API_RFM_ASSORTMENT_MODULE
WarehouseTaskType,API_WAREHOUSE_ORDER_TASK_2
MeasuringPointType,API_MEASURINGPOINT
QualityNotificationItemCause_Type,API_QUALITYNOTIFICATION
ATPRlvtProductMRPArea_Type,API_PRODUCT_AVAILY_INFO
WhseInboundDeliveryItemType,API_WHSE_INB_DELIVERY_2
WarehouseStorageTypeType,API_WAREHOUSE_2
SalesOrderItemPricingElmnt_Type,API_SALESORDER
ReturnsInspection_Type,API_RETURNSINSPECTION_2
ExplctAsstmtMdlUsrProdExclsn_Type,API_RFM_ASSORTMENT_MODULE
CABusPartPayment_2_Type,API_CABUSPARTPAYMENT
WorkCenterHeaderType,API_WORK_CENTER
PurchaseOrder_Type,API_PURCHASEORDER_2
WrittenOffPrjBlgElmEntrDets_Type,API_PROJECTBILLINGREQUEST
PurchaseOrderItem_Type,API_PURCHASEORDER_2
CnsldtnGrpStrucMethAssgmt_Type,API_CNSLDTNGROUPSTRUCTURE
AssortmentModuleVersionTextType,API_RFM_ASSORTMENT_MODULE
SalesOrderItem_Type,API_SALESORDER
WorkCenterPooledCapacityType,API_WORK_CENTER
WorkCenterCostCenterType,API_WORK_CENTER
SupplierQuotationItem_Type,API_SUPPLIERQUOTATION_2
WorkCenterDescriptionType,API_WORK_CENTER
PlannedOrderHeaderType,API_PLANNEDORDER
ServiceContractItem_Type,API_SERVICECONTRACT
CnsldtnPlant_Type,API_CNSLDTNPLANT
WorkCenterCapacityDescriptionType,API_WORK_CENTER
WorkCenterCapacityShiftType,API_WORK_CENTER
ATPRlvtProdAssgdSoldToPty_Type,API_PRODUCT_AVAILY_INFO
