service,name,navigateFrom,navigateTo,multiplicity
API_PURCHASEORDER_2,_PurchaseOrder,PURCHASEORDERITEM_TYPE,PURCHASEORDER_TYPE,1
API_PURCHASEORDER_2,_PurchaseOrderItem,PURCHASEORDER_TYPE,PURCHASEORDERITEM_TYPE,*
API_CNTRLREQFORQUOTATION,_CentralRFQItemDistribution,CENTRALREQFORQUOTATIONITEMTYPE,CENTRALRFQITEMDISTRIBUTIONTYPE,*
API_FREIGHTORDER,_FreightOrderItem,FREIGHTORDER_TYPE,FREIGHTORDERITEM_TYPE,*
API_PRAWELLCOMPLETIONDOWNTIME,_PRAWellCompltnDwnItmTP,WELLCOMPLETIONDT_TYPE,WELLCOMPLETIONDOWNTIME_TYPE,*
API_RE_SPACEGROUPTYPE,_RESpaceGroupType,RESPACEGROUPTYPETEXT_TYPE,RESPACEGROUPTYPE_TYPE,1
API_BILLINGDOCUMENTREQUEST,_Item,BILLINGDOCUMENTREQUESTITEMPARTNER_TYPE,BILLINGDOCUMENTREQUESTITEM_TYPE,1
API_RFM_ASSORTMENT_MODULE,_Product,EXPLICITASSORTMENTMODULETYPE,PRODUCTTOEXPLICITASSORTMENTMDLTYPE,*
API_WORK_CENTER,_CapDescription,WORKCENTERCAPACITYTYPE,WORKCENTERCAPACITYDESCRIPTIONTYPE,*
API_WORK_CENTER,_Interval,WORKCENTERCAPACITYTYPE,WORKCENTERCAPACITYINTERVALTYPE,*
API_WORK_CENTER,_Interval,WORKCENTERCAPACITYSHIFTTYPE,WORKCENTERCAPACITYINTERVALTYPE,1
API_CNSLDTNGROUPSTRUCTURE,_CnsldtnGroupStructure,CNSLDTNGRPSTRUCMETHASSGMT_TYPE,CONSOLIDATIONGROUPSTRUCTURE_TYPE,1
API_SRVCCANCELLATIONREASON,_ServiceCancellationReason,SRVCCANCELLATIONREASONTEXT_TYPE,SERVICECANCELLATIONREASON_TYPE,1
API_PRAWELLCOMPLETIONDOWNTIME,_PRAWellCompltnDwnHdrTP,WELLCOMPLETIONDOWNTIME_TYPE,WELLCOMPLETIONDT_TYPE,1
API_WORK_CENTER,_Header,WORKCENTERDESCRIPTIONTYPE,WORKCENTERHEADERTYPE,1
API_CNTRLREQFORQUOTATION,_CentralReqForQuotationItem,CENTRALREQUESTFORQUOTATIONTYPE,CENTRALREQFORQUOTATIONITEMTYPE,*
API_RFM_ASSORTMENT_MODULE,_ExplicitAssortmentModule,ASSORTMENTMODULEVERSIONTEXTTYPE,EXPLICITASSORTMENTMODULEVERSTYPE,1
API_SALESORDER,_ItemPricingElement,SALESORDERITEM_TYPE,SALESORDERITEMPRICINGELMNT_TYPE,*
API_RETAILPROMOTION,_RetailPromotion,A_RETAILPROMOTIONTEXT_TYPE,A_RETAILPROMOTION_TYPE,1
API_PLANNEDORDER,_PlannedOrderCapacity,PLANNEDORDERHEADERTYPE,PLANNEDORDERCAPACITYTYPE,*
API_RFM_ASSORTMENT_MODULE,_ExplicitAssortmentModule,EXPLCTASSTMTMDLUSRPRODEXCLSNTYPE,EXPLICITASSORTMENTMODULETYPE,1
API_SUPPLIERQUOTATION_2,_SupplierQuotationItem,SUPPLIERQUOTATION_TYPE,SUPPLIERQUOTATIONITEM_TYPE,*
