service,entityType,name,label,type,maxLength,key,selectProperty
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,CashDiscount1Percent,CD Percentage 1,Decimal,,,
API_PRAINTERNALMARKETING,PRAINTERNALMARKETINGRATETRANS_TYPE,UnitOfMeasure,Measurement Unit,String,3.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEMPARTNER_TYPE,PartnerIsSpecificForSDDocItem,Item-Specific Partner,Boolean,,,
API_SALESORDER,SALESORDERITEM_TYPE,ProfitCenter,Profit Center,String,10.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,ServiceProfile,Service Profile,String,10.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,Subtotal1Amount,Subtotal 1,Decimal,,,
API_WORK_CENTER,WORKCENTERPOOLEDCAPACITYTYPE,WorkCenterLastChangeDateTime,Date and Time of Last Change,DateTimeOffset,,,
API_MEASURINGPOINT,MSRGPOINTCONDITIONLONGTEXT_TYPE,SAP__Messages,,Other,,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,Operation,Operation or Phase,String,4.0,,
API_SALESORDER,SALESORDERITEM_TYPE,ItemBillingBlockReason,Billing Block,String,2.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,SEPAMandate,Mandate Reference,String,35.0,,
API_RETAILPROMOTION,A_RETAILPROMOTION_TYPE,RetailPromotionSalesToDate,On sale to,Date,,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,PayrollEmployeeGrouping,EE grp/acc.det.,String,3.0,,
API_SALESORDER,SALESORDERITEMPRICINGELMNT_TYPE,ConditionCurrency,Currency,String,3.0,,
API_MEASURINGPOINT,MEASURINGPOINTTYPE,Assembly,Assembly,String,18.0,,
API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYTYPE,CapacityNumberOfCapacities,No. Ind. Capacities,Int16,,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,PurchaseOrder,Purchase Order,String,10.0,True,True
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,ServiceDocItemCreationDateTime,Created On,DateTimeOffset,,,
